Kernel Shape,Output Shape,Params,Mult-Adds
-,"[1, 192, 32, 32]",,
"[192, 192, 3, 3]","[1, 192, 32, 32]",331776.0,339738624.0
[192],"[1, 192, 32, 32]",384.0,192.0
-,"[1, 192, 32, 32]",,
"[192, 192, 3, 3]","[1, 192, 32, 32]",331776.0,339738624.0
[192],"[1, 192, 32, 32]",384.0,192.0
-,"[1, 192, 32, 32]",,
"[192, 192, 3, 3]","[1, 192, 32, 32]",331776.0,339738624.0
[192],"[1, 192, 32, 32]",384.0,192.0
-,"[1, 192, 32, 32]",,
"[192, 192, 3, 3]","[1, 192, 32, 32]",331776.0,339738624.0
[192],"[1, 192, 32, 32]",384.0,192.0
-,"[1, 192, 32, 32]",,
"[192, 192, 3, 3]","[1, 192, 32, 32]",331776.0,339738624.0
[192],"[1, 192, 32, 32]",384.0,192.0
-,"[1, 192, 32, 32]",,
"[192, 192, 3, 3]","[1, 192, 32, 32]",331776.0,339738624.0
[192],"[1, 192, 32, 32]",384.0,192.0
-,"[1, 192, 32, 32]",,
"[384, 384, 3, 3]","[1, 384, 16, 16]",1327104.0,339738624.0
[384],"[1, 384, 16, 16]",768.0,384.0
-,"[1, 384, 16, 16]",,
"[384, 384, 3, 3]","[1, 384, 16, 16]",1327104.0,339738624.0
[384],"[1, 384, 16, 16]",768.0,384.0
-,"[1, 384, 16, 16]",,
"[384, 384, 3, 3]","[1, 384, 16, 16]",1327104.0,339738624.0
[384],"[1, 384, 16, 16]",768.0,384.0
-,"[1, 384, 16, 16]",,
"[384, 384, 3, 3]","[1, 384, 16, 16]",1327104.0,339738624.0
[384],"[1, 384, 16, 16]",768.0,384.0
-,"[1, 384, 16, 16]",,
"[384, 384, 3, 3]","[1, 384, 16, 16]",1327104.0,339738624.0
[384],"[1, 384, 16, 16]",768.0,384.0
-,"[1, 384, 16, 16]",,
"[384, 384, 3, 3]","[1, 384, 16, 16]",1327104.0,339738624.0
[384],"[1, 384, 16, 16]",768.0,384.0
-,"[1, 384, 16, 16]",,
"[384, 384, 3, 3]","[1, 384, 16, 16]",1327104.0,339738624.0
[384],"[1, 384, 16, 16]",768.0,384.0
-,"[1, 384, 16, 16]",,
"[384, 384, 3, 3]","[1, 384, 16, 16]",1327104.0,339738624.0
[384],"[1, 384, 16, 16]",768.0,384.0
-,"[1, 384, 16, 16]",,
"[96, 48, 1, 1]","[1, 48, 64, 64]",4608.0,18874368.0
[48],"[1, 48, 64, 64]",96.0,48.0
"[192, 48, 1, 1]","[1, 48, 32, 32]",9216.0,9437184.0
[48],"[1, 48, 32, 32]",96.0,48.0
"[384, 48, 1, 1]","[1, 48, 16, 16]",18432.0,4718592.0
[48],"[1, 48, 16, 16]",96.0,48.0
-,"[1, 48, 128, 128]",,
"[48, 96, 3, 3]","[1, 96, 64, 64]",41472.0,169869312.0
[96],"[1, 96, 64, 64]",192.0,96.0
"[192, 96, 1, 1]","[1, 96, 32, 32]",18432.0,18874368.0
[96],"[1, 96, 32, 32]",192.0,96.0
"[384, 96, 1, 1]","[1, 96, 16, 16]",36864.0,9437184.0
[96],"[1, 96, 16, 16]",192.0,96.0
-,"[1, 96, 64, 64]",,
"[48, 48, 3, 3]","[1, 48, 64, 64]",20736.0,84934656.0
[48],"[1, 48, 64, 64]",96.0,48.0
-,"[1, 48, 64, 64]",,
"[48, 192, 3, 3]","[1, 192, 32, 32]",82944.0,84934656.0
[192],"[1, 192, 32, 32]",384.0,192.0
"[96, 192, 3, 3]","[1, 192, 32, 32]",165888.0,169869312.0
[192],"[1, 192, 32, 32]",384.0,192.0
"[384, 192, 1, 1]","[1, 192, 16, 16]",73728.0,18874368.0
[192],"[1, 192, 16, 16]",384.0,192.0
-,"[1, 192, 32, 32]",,
"[48, 48, 3, 3]","[1, 48, 64, 64]",20736.0,84934656.0
[48],"[1, 48, 64, 64]",96.0,48.0
-,"[1, 48, 64, 64]",,
"[48, 48, 3, 3]","[1, 48, 32, 32]",20736.0,21233664.0
[48],"[1, 48, 32, 32]",96.0,48.0
-,"[1, 48, 32, 32]",,
"[48, 384, 3, 3]","[1, 384, 16, 16]",165888.0,42467328.0
[384],"[1, 384, 16, 16]",768.0,384.0
"[96, 96, 3, 3]","[1, 96, 32, 32]",82944.0,84934656.0
[96],"[1, 96, 32, 32]",192.0,96.0
-,"[1, 96, 32, 32]",,
"[96, 384, 3, 3]","[1, 384, 16, 16]",331776.0,84934656.0
[384],"[1, 384, 16, 16]",768.0,384.0
"[192, 384, 3, 3]","[1, 384, 16, 16]",663552.0,169869312.0
[384],"[1, 384, 16, 16]",768.0,384.0
-,"[1, 384, 16, 16]",,
"[720, 720, 1, 1]","[1, 720, 128, 128]",519120.0,8493465600.0
[720],"[1, 720, 128, 128]",1440.0,720.0
-,"[1, 720, 128, 128]",,
"[720, 2, 1, 1]","[1, 2, 128, 128]",1442.0,23592960.0
